night,speaker,text,neg,neu,pos,compound
first,TAPPER,Thank you Senator Sanders. ,0,0.545,0.455,0.3612
first,TAPPER,Congressman Delaney?,0,1,0,0
first,DELANEY,Well I'm right about this. We can create a universal health care system to give everyone basic health care for free and I have a proposal to do it. But we don't have to go around and be the party of subtraction and telling half the country who has private health insurance that their health insurance is illegal. ,0.053,0.704,0.243,0.9001
first,DELANEY,My dad the union electrician loved the health care he got from the IBEW. He would never want someone to take that away. Half of Medicare beneficiaries now have Medicare Advantage which is private insurance or supplemental plans. It's also bad policy. It'll underfund the industry many hospitals will close,0.078,0.726,0.196,0.8008
first,TAPPER,Thank you Congressman. ,0,0.444,0.556,0.3612
first,DELANEY, and it's bad policy. ,0.538,0.462,0,-0.5423
first,TAPPER,Senator Sanders I want to  I,0,0.698,0.302,0.0772
first,TAPPER,WARREN (?): My name was also mentioned in this.,0,1,0,0
first,TAPPER,We're going to come to you in one second but let me go to Senator Sanders right now. ,0,1,0,0
first,TAPPER,Senator Sanders?,0,1,0,0
first,SANDERS,The fact of the matter is tens of millions of people lose their health insurance every single year when they change jobs or their employer changes that insurance. If you want stability in the health care system if you want a system which gives you freedom of choice with regard to a doctor or a hospital which is a system which will not bankrupt you the answer is to get rid of the profiteering of the drug companies,0.051,0.783,0.166,0.8282
first,TAPPER,Thank you Senator. ,0,0.444,0.556,0.3612
first,SANDERS, and the insurance companies move to Medicare for all. ,0,1,0,0
first,TAPPER,Congressman Delaney? ,0,1,0,0
first,DELANEY,But now he's talking about a different issue. What I'm talking about is really simple. We should deal with the tragedy of the (ph),0.167,0.833,0,-0.6597
first,DELANEY,uninsured and give everyone health care as a right. But why do we got to be the party of taking something away from people?,0,0.781,0.219,0.7096
first,WARREN,No. No one is the party,0.436,0.297,0.267,-0.1779
first,TAPPER,Hold on one second Senator. ,0,1,0,0
first,DELANEY,That's what they're running on. They're running on,0,1,0,0
first,WARREN,No. ,1,0,0,-0.296
first,DELANEY, telling half the country that your health insurance is illegal. It says it right in the bill. ,0.184,0.816,0,-0.5574
first,TAPPER,All right thank you. ,0,0.545,0.455,0.3612
first,DELANEY,We don't have to do that. We can give everyone health care,0,0.775,0.225,0.4939
first,DELANEY,TAPPER (?): OK.,0,0.405,0.595,0.4466
first,DELANEY, and allow people to have choice. That's the American way. ,0,0.826,0.174,0.2263
first,TAPPER,Thank you Congressman. ,0,0.444,0.556,0.3612
first,TAPPER,Senator Warren?,0,1,0,0
first,WARREN,So look. Let's  let's be clear about this. We are the Democrats. We are not about trying to take away health care from anyone. That's what the Republicans are trying to do. ,0,0.838,0.162,0.7003
first,WARREN,And we should stop using Republican talking points in order to talk with each other about how to best provide that health care.,0.074,0.676,0.25,0.7351
first,WARREN,Now I want to have a chance to tell the story about my friend Ady Barkan. Ady is 35 years old. He has a wife Rachael he has a cute little boy named Carl. He also has ALS and it's killing him. Ady has health insurance good health insurance,0.079,0.699,0.222,0.7184
first,TAPPER,Senator? ,0,1,0,0
first,WARREN, and it's not nearly enough. ,0,1,0,0
first,TAPPER,Senator? I want to  I'm coming right,0,0.794,0.206,0.0772
first,WARREN,No this is important. ,0.367,0.333,0.3,-0.1027
first,TAPPER, I'm staying with you I'm staying with you. But you exceeded your time. So let me just stay with you on Medicare for all. ,0,1,0,0
first,WARREN,All right. ,0,1,0,0
first,TAPPER,"At the last debate you said you're quote ""with Bernie on Medicare for all."" Now Senator Sanders has said that people in the middle class will pay more in taxes to help pay for Medicare for all though that will be offset by the elimination of insurance premiums and other costs. Are you also quote ""with Bernie"" on Medicare for all when it comes to raising taxes on middle-class Americans to pay for it? ",0.055,0.91,0.035,0.128
first,WARREN,So giant corporations and billionaires are going to pay more. Middle-class families are going to pay less out of pocket for their health care. And I'd like to finish talking about Ady the guy who has ALS,0.067,0.795,0.137,0.5994
first,WARREN,"This isn't funny. This is somebody who has health insurance and is dying. And every month he has about $9000 in medical bills that his insurance company won't cover. His wife Rachael is on the phone for hours and hours and hours begging the insurance company ""Please cover what the doctors say he needs."" ",0.042,0.917,0.041,-0.0274
first,WARREN,He talks about what it's like to go online with thousands of other people to beg friends family and strangers for money so he can cover his medical expenses.,0,0.828,0.172,0.6808
first,WARREN,The basic profit model of an insurance company is taking as much money as you can in premiums and pay out as little as possible in health care coverage. That is not working for Americans,0.035,0.81,0.154,0.6908
first,TAPPER,Thank you. ,0,0.286,0.714,0.3612
first,WARREN, across this country,0,1,0,0
first,TAPPER,Thank you Senator.,0,0.444,0.556,0.3612
first,WARREN,Medicare for All will fix that and that's why I'll fight for it. ,0.178,0.822,0,-0.3818
first,TAPPER,Thank you Senator. Just a point of clarification,0,0.706,0.294,0.3612
first,TAPPER,in 15 extra seconds would you raise taxes on the middle class to pay for Medicare for All offset obviously by the elimination of insurance premiums yes or no?,0.111,0.805,0.084,0.0258
first,WARREN,Costs will go up for billionaires and go up for corporations. For middle-class families costs  total costs  will go down. ,0,1,0,0
first,TAPPER,Governor Bullock I want to bring you in. You do not support Medicare for All. How do you respond to Senator Warren? ,0.1,0.842,0.058,-0.2401
first,BULLOCK,No health care is so personal to all of us. Never forget when my 12-year-old son had a heart attack within 24 hours of his life. Had to be life-flighted to Salt Lake City. But because we had good insurance he's here with me tonight. ,0.102,0.749,0.149,0.354
first,BULLOCK,At the end of the day I'm not going to support any plan that rips away quality health care from individuals. This is an example of wish list economics. It used to be just Republicans who wanted to repeal and replace. Now many Democrats do as well. We can get there with a public option negotiating drug prices ending,0.035,0.84,0.124,0.6948
first,TAPPER,Thank you Governor Bullock. ,0,0.545,0.455,0.3612
first,TAPPER,I want to bring in Mayor Buttigieg. On the topic of whether or not the middle class should pay higher taxes in exchange for guaranteed health care and the elimination of insurance premiums how do you respond Mayor?,0.035,0.852,0.113,0.4767
first,BUTTIGIEG,So we don't have to stand up here speculating about whether the public option will be better or a Medicare for All environment will be better than the corporate options. We can put it to the test. ,0,0.854,0.146,0.7003
first,BUTTIGIEG,That's the concept of my Medicare for All Who Want It proposal. That way if people like me are right that the public alternative is going to be not only more comprehensive but more affordable than any of the corporate options around there we'll see Americans walk away from the corporate options into that Medicare option and it will become Medicare for All without us having to kick anybody off their insurance.,0.02,0.94,0.04,0.1082
first,TAPPER,Just 15 seconds on the clarification. You are willing to raise taxes on middle-class Americans in order to have universal coverage with the disappearance of insurance premiums yes or no? ,0.067,0.851,0.082,0.128
first,BUTTIGIEG,I think you can buy into it. That's the idea of Medicare for All Who Want It. Look this is a distinction without a difference whether you're paying the same money in the form of taxes or premiums. Look in this country if you have health coverage  if you don't have health coverage you're paying too much for care and if you do have health coverage you're paying too much for care.,0,0.896,0.104,0.7717
first,TAPPER,Thank you Mayor Buttigieg. I want to bring in Congressman O'Rourke on the topic of whether the middle class should pay higher taxes in exchange for universal coverage and the elimination of insurance premiums. What's your response? ,0.037,0.864,0.099,0.34
first,O'ROURKE,The answer is no. The middle class will not pay more in taxes in order to ensure that every American is guaranteed world-class health care. I think we're being offered a false choice some who want to improve the Affordable Care Act at the margins others who want a Medicare for All program that will force people off of private insurance I have a better path. ,0.03,0.713,0.256,0.9259
first,O'ROURKE,Medicare for America. Everyone who is uninsured is enrolled in Medicare tomorrow. Those who are insufficiently insured are enrolled,0,1,0,0
first,TAPPER,Congressman,0,1,0,0
first,O'ROURKE, in Medicare,0,1,0,0
first,TAPPER,Just a 15 seconds,0,1,0,0
first,O'ROURKE,And those who have employer-sponsored insurance,0,1,0,0
first,TAPPER,Who is offering  who is offering a false choice here?,0,1,0,0
first,O'ROURKE,Jake this is important. ,0,0.625,0.375,0.2023
first,TAPPER,Who's offering a false choice here? ,0,1,0,0
first,O'ROURKE,You have some. Governor Bullock who's said that we will improve the Affordable Care Act at the margins with a public option. You have others to my right who are talking about taking away people's choice for the private insurance they have or members of unions. I was listening to Dee Taylor (ph),0,0.889,0.111,0.7269
first,O'ROURKE,in Nevada,0,1,0,0
first,TAPPER,Thank you Congressman. Governor Bullock,0,0.615,0.385,0.3612
first,TAPPER, he just said you're offering a false choice sir. ,0,1,0,0
first,BULLOCK,Congressman not at all. You know it took us decades and false starts to get the Affordable Care Act. So let's actually build on it. A public option allowing anyone to buy in. ,0,0.906,0.094,0.4939
first,BULLOCK,You know we pay more for prescription drugs than any place actually in the world. We got nothing to show for it. Negotiate prescription drug prices. End surprise medical billing. That's the way that we can get there without disrupting the lives of 160 million people that like their employer-sponsored health insurance.,0.025,0.891,0.084,0.4939
first,TAPPER,Congressman O'Rourke you can respond. Congressman O'Rourke you can respond.,0,1,0,0
first,O'ROURKE,Every estimate that I've seen of expanding ACA even through a public option still leaves millions of people uninsured and also means that people are not guaranteed the health care that they need as the example that Senator Warren showed us. ,0,0.924,0.076,0.4939
first,O'ROURKE,Our plan ensures that everyone is enrolled in Medicare or can keep their employer-sponsored insurance. When we listen to the American people  and this is what they want us to do  they want everyone covered but they want to be able to maintain choice,0,0.916,0.084,0.1901
first,TAPPER,Thank you Congressman. ,0,0.444,0.556,0.3612
first,O'ROURKE, and our plan does that.,0,1,0,0
first,TAPPER,Thank you Congressman. I want to bring in Senator Klobuchar. ,0,0.648,0.352,0.4215
first,TAPPER,Senator Warren at the beginning of the night said that Democrats cannot bring  cannot win the White House with small ideas and spinelessness. In the last debate she said the politicians who are not supporting Medicare for All simply lack the will to fight for it. You do not support Medicare for All. Is Senator Warren correct? Do you just not lack the will to fight for it?,0.189,0.778,0.032,-0.8831
first,KLOBUCHAR,That is incorrect. I just have a better way to do this. And in one of my first debates Jake I was called a street fighter from the iron range by my opponent. And when she said it I said thank you. ,0,0.829,0.171,0.7184
first,KLOBUCHAR,So this is what I think we need to get done. We need the public option. That's what Barack Obama wanted and it would bring health care costs down for everyone.,0,0.901,0.099,0.4939
