"speaker","text","neg","neu","pos","compound","start_time","end_time","length"
"HARRIS","And I am prepared to march with you to fight with you for the best of who we are and to successfully prosecute the case of four more years of Donald Trump and against him.","0.122","0.665","0.213","0.6124",1205.529999,1217.05,11.520000999999866
"BASH"," Vice President Joe Biden.  ","0.0","1.0","0.0","0.0",1219.61,1221.78,2.1700000000000728
"BIDEN"," Tonight I think Democrats are expecting some engagement here.  And I expect we'll get it.  ","0.0","0.8","0.2","0.4588",1221.78,1227.33,5.5499999999999545
"BIDEN","I'm running for president to restore the soul of this country.  You know we have a president as everybody has acknowledged here every day is ripping at the social fabric of this country but no one man has the capacity to rip that apart.  It's too strong.  We're too good.","0.049","0.78","0.172","0.7964",1227.81,1243.6100000000001,15.800000000000182
"BIDEN","Just look at this stage made up of very diverse people from diverse backgrounds went on to be mayors senators governors congresswomen members of the cabinet and yes even a vice president.","0.0","0.917","0.083","0.4019",1244.55,1256.3999999999999,11.849999999999909
"BIDEN","Mr. President this is America.  And we are stronger and great because of this diversity Mr. President not in spite of it Mr. President.","0.0","0.689","0.311","0.8582",1257.009999,1269.38,12.370001000000002
"BIDEN","So Mr. President let's get something straight:  We love it.  We are not leaving it.  We are here to stay.  And we're certainly not going to leave it to you.","0.0","0.729","0.271","0.8247",1269.99,1278.119999,8.129998999999998
"BASH"," Thank you Vice President Biden.  I want to start the debate with one of the top priorities for Democratic voters and that is health care.  ","0.0","0.694","0.306","0.7783",1284.159999,1291.0399989999999,6.879999999999882
"BASH","Senator Harris this week you released a new health care plan which would preserve private insurance and take 10 years to phase in.  Vice President Biden's campaign calls your plan quote ""a have-it-every-which-way approach"" and says it's just part of a confusing pattern of equivocating about your health care stance.  What do you say to that?","0.032","0.86","0.108","0.6705",1291.82,1313.89,22.070000000000164
"HARRIS"," Well they're probably confused because they've not read it.  But the reality is that I have been spending time in this campaign listening to American families listening to experts listening to health care providers and what I came away with is a very clear understanding that I needed to create a plan that was responsive to the needs of the American people responsive to their needs understanding that insurance companies have been jacking up the prices for far too long that American families have to be held down by deductibles and co-pays and premiums that can cause them bankruptcy.  ","0.022","0.832","0.146","0.8999",1314.24,1350.119999,35.879999
"HARRIS","I listened to the American families who said four years is just not enough to transition into this new plan so I devised a plan where it's going to be 10 years of a transition.","0.0","1.0","0.0","0.0",1350.75,1359.8,9.049999999999955
"HARRIS","I listened to American families who said I want an option that will be under your Medicare system that allows a private plan.  So I designed a plan where yes responsive to the needs of American families there will be a public plan under my plan for Medicare and a private plan under my plan for Medicare.","0.0","0.879","0.121","0.6705",1360.07,1379.349999,19.27999900000009
"HARRIS","Because the bottom line is this:  We must agree that access to health care must be a right and not just a privilege of those who can afford it.  And in America today far too many people  in fact 30 million people  are going without access to health care.","0.039","0.796","0.165","0.7776",1379.65,1394.0700000000002,14.420000000000073
"BASH"," Thank you Senator.  Thank you Senator Harris.  Vice President Biden your response.  ","0.0","0.667","0.333","0.6124",1394.44,1399.93,5.490000000000009
"BIDEN"," Well my response is that the senator has had several plans so far.  And any time someone tells you you're going to get something good in 10 years you should wonder why it takes 10 years.  ","0.0","0.872","0.128","0.6124",1400.099999,1406.68,6.580001000000038
"BIDEN","If you noticed there is no talk about the fact that the plan in 10 years will cost $3 trillion.  You will lose your employer-based insurance.  And in fact you know this is the single most important issue facing the public.  And to be very blunt and to be very straightforward you can't beat President Trump with double-talk on this plan.","0.075","0.892","0.032","-0.4228",1407.29,1425.96,18.670000000000073
"BASH"," Your response Senator Harris?","0.0","1.0","0.0","0.0",1427.53,1428.41,0.8800000000001091
"HARRIS"," Absolutely.  Unfortunately Vice President Biden you're just simply inaccurate in what you're describing.  The reality is that our plan will bring health care to all Americans under a Medicare for All system.  ","0.077","0.831","0.092","0.1298",1428.45,1440.63,12.180000000000064
"HARRIS","Our plan will allow people to start signing up on the first day.  Babies will be born into our plan and right now 4 million babies almost are born every day in America  or every year in America.  Under our plan we will ensure that everyone has access to health care.","0.0","0.859","0.141","0.7717",1440.8,1456.83,16.029999999999973
"HARRIS","Your plan by contrast leaves out almost 10 million Americans.  So I think that you should really think about what you're saying but be reflective and understand that the people of America want access to health care and do not want cost to be their barrier to getting it.","0.033","0.831","0.136","0.6652",1456.969999,1473.349999,16.38000000000011
"BASH"," Senator Harris thank you.  Vice President Biden your response?  ","0.0","0.762","0.238","0.3612",1473.41,1476.179999,2.7699989999998706
"BIDEN"," The plan no matter how you cut it costs $3 trillion when it is in fact employed number one.  Ten years from now after two terms of the senator being president after her time.  ","0.117","0.817","0.065","-0.4404",1476.8199989999998,1488.3700000000001,11.550001000000293
"BIDEN","Secondly it will require middle-class taxes to go up not down.  Thirdly it will eliminate employer-based insurance.  And fourthly what happens in the meantime?","0.0","1.0","0.0","0.0",1488.639999,1500.02,11.380000999999993
"HARRIS"," I'd like to respond.  First of all the cost of doing nothing is far too expensive.  Second we are now paying $3 trillion a year for health care in America.  Over the next 10 years it's probably going to be $6 trillion.  We must act.  ","0.0","0.881","0.119","0.6908",1502.04,1519.72,17.680000000000064
