speaker,bigram,n,total,tf,idf,tf_idf
GILLIBRAND,affordable day,1,1421,0.009615384615384616,2.302585092994046,0.022140241278788903
GILLIBRAND,allergic reaction,1,1421,0.009615384615384616,2.302585092994046,0.022140241278788903
GILLIBRAND,america's women,1,1421,0.009615384615384616,2.302585092994046,0.022140241278788903
GILLIBRAND,avoiding responsibility,1,1421,0.009615384615384616,2.302585092994046,0.022140241278788903
GILLIBRAND,basic rights,1,1421,0.009615384615384616,2.302585092994046,0.022140241278788903
HARRIS,american families,8,2999,0.034334763948497854,1.6094379124341003,0.05525967081318799
HARRIS,civil rights,5,2999,0.02145922746781116,0.9162907318741551,0.019662891241934658
HARRIS,death penalty,4,2999,0.017167381974248927,1.6094379124341003,0.027629835406593996
HARRIS,million people,4,2999,0.017167381974248927,1.2039728043259361,0.020669061018471005
HARRIS,rights division,4,2999,0.017167381974248927,2.302585092994046,0.03952935781964027
HARRIS,justice system,3,2999,0.012875536480686695,1.6094379124341003,0.020722376554945496
HARRIS,senator biden,3,2999,0.012875536480686695,2.302585092994046,0.029647018364730205
HARRIS,bring health,2,2999,0.008583690987124463,2.302585092994046,0.019764678909820137
HARRIS,committed crimes,2,2999,0.008583690987124463,2.302585092994046,0.019764678909820137
HARRIS,detention facility,2,2999,0.008583690987124463,2.302585092994046,0.019764678909820137
INSLEE,clean energy,3,1152,0.030303030303030304,2.302585092994046,0.06977530584830442
INSLEE,fossil fuel,3,1152,0.030303030303030304,2.302585092994046,0.06977530584830442
INSLEE,top priority,3,1152,0.030303030303030304,2.302585092994046,0.06977530584830442
INSLEE,bold ambitious,2,1152,0.020202020202020204,2.302585092994046,0.046516870565536286
INSLEE,climate change,2,1152,0.020202020202020204,1.6094379124341003,0.03251389722089092
INSLEE,climate crisis,2,1152,0.020202020202020204,2.302585092994046,0.046516870565536286
INSLEE,mental health,2,1152,0.020202020202020204,1.6094379124341003,0.03251389722089092
INSLEE,accountability measures,1,1152,0.010101010101010102,2.302585092994046,0.023258435282768143
INSLEE,adequate judgment,1,1152,0.010101010101010102,2.302585092994046,0.023258435282768143
INSLEE,adequate mental,1,1152,0.010101010101010102,2.302585092994046,0.023258435282768143
YANG,de escalate,2,1259,0.01818181818181818,1.6094379124341003,0.029262507498801823
YANG,escalate tensions,2,1259,0.01818181818181818,1.6094379124341003,0.029262507498801823
YANG,game changer,2,1259,0.01818181818181818,2.302585092994046,0.04186518350898265
YANG,manufacturing jobs,2,1259,0.01818181818181818,2.302585092994046,0.04186518350898265
YANG,reality tv,2,1259,0.01818181818181818,2.302585092994046,0.04186518350898265
YANG,start investing,2,1259,0.01818181818181818,2.302585092994046,0.04186518350898265
YANG,abroad reflects,1,1259,0.00909090909090909,2.302585092994046,0.020932591754491324
YANG,abusive jobs,1,1259,0.00909090909090909,2.302585092994046,0.020932591754491324
YANG,agreement renegotiate,1,1259,0.00909090909090909,2.302585092994046,0.020932591754491324
YANG,america's stores,1,1259,0.00909090909090909,2.302585092994046,0.020932591754491324
